Адрес,Дата,Время,CO(мг/м3),NO(мг/м3),NO2(мг/м3),SO2(мг/м3)
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,00:00:00,0.0,0.0,0.24,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,00:00:00,0.0,1.425,41.702,1.69
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,00:00:00,10.113,0.0,0.563,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,01:00:00,0.0,0.0,0.272,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,01:00:00,0.0,1.488,41.733,1.859
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,01:00:00,9.949,0.0,0.498,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,02:00:00,0.0,0.0,0.403,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,02:00:00,0.0,1.538,41.819,1.923
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,02:00:00,9.685,0.0,0.48,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,03:00:00,0.0,0.0,0.416,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,03:00:00,0.0,1.525,41.811,1.913
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,03:00:00,10.094,0.0,0.53,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,04:00:00,0.0,0.0,0.663,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,04:00:00,0.0,1.531,41.872,1.925
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,04:00:00,10.685,0.0,0.613,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,05:00:00,0.0,0.0,0.663,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,05:00:00,0.0,1.553,41.946,1.978
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,05:00:00,10.876,0.0,0.49,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,06:00:00,0.0,0.0,0.663,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,06:00:00,0.0,1.582,41.996,2.093
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,06:00:00,10.8,0.0,0.521,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,07:00:00,0.0,0.0,0.664,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,07:00:00,0.0,1.462,41.782,1.945
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,07:00:00,10.689,0.0,0.502,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,08:00:00,0.0,0.0,0.481,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,08:00:00,0.0,1.373,41.574,1.69
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,08:00:00,10.496,0.0,0.5,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,09:00:00,0.0,0.0,0.066,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,09:00:00,0.0,1.307,41.394,1.489
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,09:00:00,10.042,0.0,0.523,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,10:00:00,0.0,1.136,41.066,1.218
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,10:00:00,9.738,0.0,0.505,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,11:00:00,0.0,1.065,40.967,1.106
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,11:00:00,9.703,0.0,0.481,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,12:00:00,0.0,1.017,40.865,1.019
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,12:00:00,9.368,0.0,0.472,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,13:00:00,0.0,1.017,40.86,0.981
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,13:00:00,9.325,0.0,0.442,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,14:00:00,0.0,0.0,0.0,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,14:00:00,0.0,1.021,40.882,1.094
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,14:00:00,9.489,0.0,0.429,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,15:00:00,0.0,0.0,0.107,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,15:00:00,2.471,1.699,41.114,1.615
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,15:00:00,9.793,0.0,0.529,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,16:00:00,0.0,0.0,0.314,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,16:00:00,1.351,1.776,41.345,1.975
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,16:00:00,11.128,0.0,0.595,0.0
"г. Тула, Болдина ул. – ул. Макаренко",17.03.2025,17:00:00,0.0,0.0,0.535,0.0
"г. Тула, просп. Ленина – Первомайская ул.",17.03.2025,17:00:00,0.021,1.795,41.417,2.079
"г. Тула, Советская ул. – пр-т Ленина",17.03.2025,17:00:00,11.221,0.0,0.602,0.0
